Sentence,Tag
메가커피에서 아이스라떼를 시켰어요 .,ORG-B O O O
본도시락에서 도시락을 포장해 왔어요 .,ORG-B O O O O
배스킨라빈스에서 아이스크림을 맛보았어요 .,ORG-B O O O
호남식당에서 전주 비빔밥을 주문했어요 .,ORG-B O O O O
페리카나에서 양념치킨과 파닭을 시켰어요 .,ORG-B O O O O
기숙사에서 친구들과 함께 밥을 먹었어요 .,ORG-B O O O O O
고시원에서 공부하고 왔어요 .,ORG-B O O O
현대세탁에서 옷을 세탁해 왔어요 .,O O O O O
도미노피자에서 피자와 음료를 시켰어요 .,ORG-B O O O O
맘스터치에서 치킨과 감자튀김을 맛있게 먹었어요 .,ORG-B O O O O O
명동칼국수에서 국수와 만두를 맛보았어요 .,ORG-B O O O O
푸라닭에서 후라이드치킨과 양념치킨을 주문했어요 .,ORG-B O O O O
리안헤어에서 머리 스타일링을 해줬어요 .,ORG-B O O O O
써브웨이에서 샌드위치를 맛있게 먹었어요 .,ORG-B O O O O
역전할머니맥주에서 생맥주 한 잔 마셨어요 .,ORG-B O O O O O
옛날통닭에서 후라이드치킨과 감자튀김을 시켰어요 .,ORG-B O O O O
낙원떡집에서 떡볶이와 김말이를 주문했어요 .,ORG-B O O O O
자연별곡에서 채식 샐러드와 스무디를 주문했어요 .,ORG-B O O O O O
슈퍼마켓에서 신선한 과일과 야채를 구입했어요 .,O O O O O O
전주식당에서 맛있는 비빔국수를 주문했어요 .,O O O O O
롯데리아에서 치즈버거와 감자튀김을 시켰어요 .,ORG-B O O O O
컴포즈에서 음악을 감상하며 아메리카노를 마셨어요 .,ORG-B O O O O O
컴포즈커피에서 카페라떼를 시켰어요 .,ORG-B ORG-B O O
샐러디에서 건강한 샐러드를 주문했어요 .,ORG-B O O O O
커피에반하다에서 카페모카를 마셨어요 .,ORG-B ORG-B O O
맛닭꼬에서 닭강정과 튀김을 주문했어요 .,ORG-B O O O O
노랑통닭에서 후라이드치킨과 감자튀김을 구입했어요 .,ORG-B O O O O
명륜진사갈비에서 불고기를 주문했어요 .,ORG-B O O O
고향식당에서 전통 한식을 맛보았어요 .,ORG-B O O O O
롯데공인중개사사무소에서 주택 거래를 도와줬어요 .,ORG-B O O O O
그린에서 식물을 구입했어요 .,ORG-B O O O
미소에서 웃으면서 그림을 그렸어요 .,ORG-B O O O O
김가네에서 김밥과 떡볶이를 주문했어요 .,ORG-B O O O O
파리바게트에서 빵과 케이크를 구입했어요 .,ORG-B O O O O
공차에서 맛있는 차를 시켰어요 .,ORG-B O O O O
큰집닭강정에서 닭강정을 주문했어요 .,ORG-B O O O
부산어묵에서 어묵과 오뎅을 주문했어요 .,ORG-B O O O O
생활맥주에서 맥주 한 잔을 마셨어요 .,O O O O O O
등촌샤브칼국수에서 칼국수와 샤브샤브를 맛보았어요 .,O O O O O
제이헤어에서 머리 스타일링을 해줬어요 .,ORG-B O O O O
롯데리아에서 더블치즈버거와 감자튀김을 시켰어요 .,ORG-B O O O O
컴포즈에서 피아노 연주를 들으며 아메리카노를 마셨어요 .,ORG-B O O O O O O
컴포즈커피에서 바닐라라떼를 시켰어요 .,ORG-B O O O
샐러디에서 건강한 샐러드와 스무디를 주문했어요 .,ORG-B O O O O O
커피에반하다에서 카라멜마끼아또를 마셨어요 .,ORG-B O O O
맛닭꼬에서 닭강정과 치즈스틱을 주문했어요 .,ORG-B O O O O
노랑통닭에서 핫후라이드치킨과 콜라를 구입했어요 .,ORG-B O O O O
명륜진사갈비에서 생삼겹살과 간장새우를 주문했어요 .,ORG-B O O O O
시골집에서 삼계탕을 맛보았어요 .,O O O O
화이트365에서 빵과 커피를 주문했어요 .,ORG-B O O O O
수헤어에서 헤어스타일링을 해주셨어요 .,ORG-B O O O
종로떡집에서 떡국을 구입했어요 .,ORG-B O O O
씨유에서 간식을 사왔어요 .,ORG-B O O O
CU에서 편의점 물품을 구입했어요 .,ORG-B O O O O
자담치킨에서 양념치킨과 감자튀김을 주문했어요 .,ORG-B O O O O
서울식당에서 된장찌개와 비빔밥을 주문했어요 .,ORG-B O O O O
청진동해장국에서 해장국을 맛보았어요 .,ORG-B O O O
김밥나라에서 김밥과 국물떡볶이를 주문했어요 .,ORG-B O O O O
백양세탁소에서 옷을 세탁했어요 .,ORG-B O O O
더벤티에서 디저트와 커피를 주문했어요 .,ORG-B O O O O
종로빈대떡에서 빈대떡을 맛보았어요 .,ORG-B O O O
메머드에서 요가 수업을 들었어요 .,ORG-B O O O O
깐부치킨에서 간장치킨과 감자튀김을 주문했어요 .,ORG-B O O O O
스마일에서 화이트라떼와 케이크를 주문했어요 .,ORG-B ORG-B O O O
수노래연습장에서 노래 연습을 했어요 .,ORG-B O O O O
피자나라치킨공주에서 피자와 양념치킨을 주문했어요 .,ORG-B O O O O
청년다방에서 아메리카노와 빵을 주문했어요 .,ORG-B O O O O
이마트24에서 식료품을 구입했어요 .,O O O O
롯데리아에서 핫도그와 감자튀김을 먹었어요 .,ORG-B O O O O
미소에서 스테이크와 파스타를 주문했어요 .,ORG-B O O O O
김밥천국에서 김밥과 라면을 주문했어요 .,O O O O O
파리바게뜨에서 케이크와 빵을 사왔어요 .,O O O O O
공차에서 버블티와 스무디를 주문했어요 .,ORG-B O O O O
큰집닭강정에서 강정과 치킨을 주문했어요 .,ORG-B O O O O
부산어묵에서 어묵과 떡볶이를 구입했어요 .,ORG-B O O O O
생활맥주에서 맥주와 간식을 주문했어요 .,O O O O O
롯데공인중개사사무소에서 집을 임대했어요 .,ORG-B O O O
더벤티에서 디저트와 커피를 사왔어요 .,ORG-B O O O O
애니카랜드에서 아이들과 함께 즐거운 시간을 보냈어요 .,O O O O O O O
할매순대국에서 정말 맛있는 순대국을 맛봤어요 .,ORG-B O O O O O
맥도날드에서 맥날버거와 감자튀김을 주문했어요 .,ORG-B ORG-B O O O
후참잘에서 후라이드치킨과 참잘비빔밥을 주문했어요 .,ORG-B O O O O
을지로골뱅이에서 뱅이새우와 뚝배기골뱅이를 주문했어요 .,ORG-B O O O O
썬더치킨에서 양념치킨과 간식을 구입했어요 .,ORG-B O O O O
피자마루에서 피자와 파스타를 주문했어요 .,ORG-B O O O O
고향집에서 전통 한식을 맛보았어요 .,ORG-B O O O O
다모아에서 다양한 음식을 즐겨 먹었어요 .,ORG-B O O O O O
가장맛있는족발에서 맛있는 족발과 국밥을 주문했어요 .,ORG-B O O O O O
봉구비어에서 맥주와 간식을 즐겼어요 .,ORG-B O O O O
이모네에서 집밥을 먹었는데 정말 맛있더라고요 .,ORG-B O O O O O
으뜸50안경에서 스타일리시한 안경을 구입했어요 .,ORG-B O O O O
봉구스밥버거에서 밥버거와 감자튀김을 주문했어요 .,ORG-B O O O O
프랭크버거에서 프랭크스테이크버거와 음료를 주문했어요 .,ORG-B O O O O
대박집에서 대박메뉴를 맛보았어요 .,ORG-B O O O
중국식품에서 중국요리 재료를 구입했어요 .,ORG-B O O O O
지에스에서 편리한 배달 서비스를 이용했어요 .,ORG-B O O O O O
애니카랜드에서 원하는 캐릭터들을 만날 수 있었어요 .,O O O O O O O
할매순대국에서 정성가득한 순대국을 맛봤어요 .,ORG-B O O O O
맥도날드에서 햄버거와 감자튀김을 주문했어요 .,ORG-B O O O O
후참잘하는집에서 맛있는 후라이드치킨을 먹었어요 .,ORG-B O O O O
을지로골뱅이에서 매콤한 골뱅이를 즐겼어요 .,ORG-B O O O O
썬더치킨에서 양념치킨과 맥주를 주문했어요 .,ORG-B O O O O
피자마루에서 다양한 피자를 주문했어요 .,ORG-B O O O O
고향집에서 고향의 맛을 다시 느꼈어요 .,ORG-B O O O O O
다모아에서 맛있는 음식들을 한 자리에 먹을 수 있었어요 .,ORG-B O O O O O O O O
가장맛있는족발에서 족발과 국물까지 모두 맛있었어요 .,ORG-B O O O O O
봉구비어에서 맥주와 안주를 함께 즐겼어요 .,ORG-B O O O O O
이모네에서 집밥이 향긋하고 맛있었어요 .,ORG-B O O O O
또래오래에서 젊고 활기찬 분위기를 느꼈어요 .,ORG-B O O O O O
전주집에서 전통 한식을 맛보았는데 정말 맛있었어요 .,ORG-B O O O O O O
호식이두마리치킨에서 치킨과 맥주를 함께 즐겼어요 .,ORG-B O O O O O
오렌즈에서 멋진 안경을 구입했어요 .,ORG-B O O O O
명동찌개마을에서 매콤한 찌개를 맛봤는데,ORG-B O O O
정말 맛있더라고요 .,O O O
배떡에서 고소한 떡볶이를 맛보았어요 .,ORG-B O O O O
정관장에서 건강에 좋은 건강식품을 구입했어요 .,ORG-B O O O O O
대성에서 시원한 음료를 즐겼어요 .,ORG-B O O O O
보드람치킨에서 바삭한 치킨을 주문했어요 .,ORG-B O O O O
알파문구에서 다양한 문구용품을 구입했어요 .,ORG-B O O O O
래미안에서 편안한 주거공간을 느꼈어요 .,ORG-B O O O O
카페에서 아로마 커피를 즐겼어요 .,ORG-B O O O O
우리마트에서 신선한 식재료를 구입했어요 .,ORG-B O O O O
골목집에서 정통 한식을 맛보았는데,ORG-B O O O
정말 맛있었어요 .,O O O
명가에서 가족과 함께 식사를 즐겼어요 .,ORG-B O O O O O
설빙에서 시원한 빙수를 맛보았는데,ORG-B O O O
정말 시원했어요 .,O O O
모닝글로리에서 아침을 맛있게 시작했어요 .,ORG-B O O O O
애플에서 최신 기술을 만날 수 있었어요 .,ORG-B O O O O O O
세븐에서 편리하고 다양한 상품을 구입했어요 .,ORG-B O O O O O
조이에서 즐거운 시간을 보냈어요 .,ORG-B O O O O
우리할매떡볶이에서 매콤한 떡볶이를 맛보았는데,ORG-B O O O
정말 맛있었어요 .,O O O
지에스25에서 빠른 배달 서비스를 이용했어요 .,ORG-B O O O O O
화이트에서 깔끔하고 심플한 의류를 구입했어요 .,ORG-B O O O O O
육쌈냉면에서 시원하고 맛있는 냉면을 맛보았어요 .,ORG-B O O O O O
홍콩반점에서 정통 중국요리를 즐겼어요 .,ORG-B O O O O
지코바에서 정통 이탈리아 피자를 맛보았는데,ORG-B O O O O
정말 맛있었어요 .,O O O
죠스떡볶이에서 쫄깃한 떡볶이를 맛보았는데,ORG-B O O O
정말 맛있었어요 .,O O O
북촌손만두에서 손맛이 느껴지는 만두를 맛보았어요 .,ORG-B O O O O O
레인보우에서 다채롭고 아름다운 의류를 구입했어요 .,ORG-B O O O O O
하모니마트로에서 신나고 즐거운 쇼핑을 즐겼어요 .,O O O O O O
빽다방과 크로커다일에서 아침 식사를 했어요 .,O ORG-B O O O O
파파존스에서 맛있는 피자를 주문했어요 .,ORG-B O O O O
경성꽈배기와 큰맘할매순대국에서 매콤한 음식을 맛보았어요 .,ORG-B ORG-B O O O O
코코호도에서 상큼한 오렌지 주스를 즐겼어요 .,ORG-B O ORG-B O O O
양평해장국과 봉추찜닭에서 맛있는 식사를 했어요 .,ORG-B ORG-B O O O O
치킨플러스와 코웨이렌탈에서 새로운 상품들을 구입했어요 .,ORG-B ORG-B O O O O
나무와 올포유에서 건강한 식재료를 구입했어요 .,ORG-B ORG-B O O O O
싸다김밥에서 싸고 맛있는 김밥을 주문했어요 .,ORG-B O O O O O
정원과 헤어갤러리에서 휴식과 헤어 스타일링을 즐겼어요 .,ORG-B ORG-B ORG-B O O O O
피자알볼로에서 정통 이탈리아 피자를 맛보았어요 .,ORG-B O O O O O
중국성과 북경에서 중국 요리를 맛보았는데,ORG-B ORG-B O O O
정말 맛있었어요 .,O O O
오한수우육면가와 모모에서 아시아 음식을 즐겼어요 .,ORG-B ORG-B O O O O
더풋샵에서 편안한 신발을 구입했어요 .,ORG-B O O O O
삼천리자전거와 땅스부대찌개에서 운동 후 맛있는 식사를 했어요 .,ORG-B ORG-B O O O O O O
휴와 한솥도시락에서 각각 다른 식사를 했는데,ORG-B ORG-B O O O O
둘 다 맛있었어요 .,O O O O
국수나무에서 상큼한 국수를 맛보았는데,ORG-B O O O
정말 맛있었어요 .,O O O
장수식당과 가위소리에서 전통 한식을 맛보았어요 .,ORG-B ORG-B O O O O
가마로강정에서 바삭한 강정을 주문했어요 .,ORG-B O O O O
빽다방과 오한수우육면가에서 커피와 우육면을 주문했어요 .,O ORG-B O O O O
헤어갤러리와 정원에서 머리를 자르고 휴식을 즐겼어요 .,ORG-B ORG-B O O ORG-B O O
모모와 봉추찜닭에서 각각 다른 식사를 즐겼어요 .,ORG-B ORG-B O O O O O
올포유와 가위소리에서 건강한 상품과 문구를 구입했어요 .,ORG-B ORG-B O O O O O
파파존스와 중국성에서 피자와 중국 요리를 주문했어요 .,ORG-B ORG-B O O O O O
씨유와 북경에서 다양한 상품을 구입했어요 .,ORG-B ORG-B O O O O
피자알볼로와 한솥도시락에서 피자와 도시락을 주문했어요 .,ORG-B ORG-B O O O O
더풋샵과 삼천리자전거에서 운동화와 자전거를 구입했어요 .,ORG-B ORG-B O O O O
코웨이렌탈과 장수식당에서 청소기와 전통 한식을 주문했어요 .,ORG-B ORG-B O O O O O
경성꽈배기와 치킨플러스에서 꽈배기와 치킨을 주문했어요 .,ORG-B ORG-B O O O O
한솥도시락과 피자알볼로에서 도시락과 피자를 주문했어요 .,ORG-B ORG-B O O O O
크로커다일과 삼천리자전거에서 샌드위치와 자전거를 주문했어요 .,ORG-B ORG-B O O O O
코웨이렌탈과 국수나무에서 청소기와 국수를 주문했어요 .,ORG-B ORG-B O O O O
큰맘할매순대국과 더풋샵에서 순대국과 운동화를 주문했어요 .,ORG-B ORG-B O O O O
올포유와 모모에서 건강 상품과 아시아 음식을 주문했어요 .,ORG-B ORG-B O O O O O O
치킨플러스와 장수식당에서 치킨과 전통 한식을 주문했어요 .,ORG-B ORG-B O O O O O
파파존스와 가마로강정에서 피자와 강정을 주문했어요 .,ORG-B ORG-B O O O O
빽다방과 한솥도시락에서 커피와 도시락을 주문했어요 .,O ORG-B O O O O
모모와 삼천리자전거에서 아시아 음식과 자전거를 주문했어요 .,ORG-B ORG-B O O O O O
헤어갤러리와 씨유에서 머리를 자르고 상품을 구입했어요 .,ORG-B ORG-B O O O O O
코코호도와 중국성에서 오렌지 주스와 중국 요리를 주문했어요 .,ORG-B ORG-B ORG-B O O O O O
양평해장국과 북경에서 해장국과 중국 요리를 주문했어요 .,ORG-B ORG-B O O O O O
봉추찜닭과 모모에서 찜닭과 아시아 음식을 주문했어요 .,ORG-B ORG-B O O O O O
크로커다일과 한솥도시락에서 샌드위치와 도시락을 주문했어요 .,ORG-B ORG-B O O O O
중국성과 치킨플러스에서 중국 요리와 치킨을 주문했어요 .,ORG-B ORG-B O O O O O
올포유와 큰맘할매순대국에서 상품과 순대국을 주문했어요 .,ORG-B ORG-B O O O O
헤어갤러리와 빽다방에서 머리를 자르고 커피를 주문했어요 .,ORG-B O O O O O O
국수나무와 코웨이렌탈에서 국수와 청소기를 주문했어요 .,ORG-B ORG-B O O O O
씨유와 파파존스에서 상품과 피자를 주문했어요 .,ORG-B ORG-B O O O O
장수식당과 더풋샵에서 전통 한식과 운동화를 주문했어요 .,ORG-B ORG-B O O O O O
봉추찜닭과 경성꽈배기에서 찜닭과 꽈배기를 주문했어요 .,ORG-B ORG-B O O O O
휴와 올포유에서 휴식과 상품을 구입했어요 .,ORG-B ORG-B ORG-B O O O
디저트39 매장에서 디저트를 먹고 그 뒤로 서오릉피자에서 피자를 주문했어요 .,ORG-B O O O O O ORG-B O O O
죽이야기 매장에서 죽을 먹고 정미용실에서 헤어스타일을 바꾸었어요 .,ORG-B O O O ORG-B O O O
은행골에서 한식을 맛보고 진미식당에서 또 다른 한식을 주문했어요 .,ORG-B O O ORG-B O O O O O
아띠 매장에서 악세서리를 살펴보고 그렇게 해피데이 매장에서 특별한 선물을 샀어요 .,ORG-B O O O O ORG-B O O O O O
여성크로커다일 매장에서 여성복을 구입하고 얌샘김밥에서 김밥을 먹었어요 .,ORG-B O O O ORG-B O O O
치킨뱅이에서 치킨을 주문하고 현대마트에서 재료를 사왔어요 .,ORG-B O O ORG-B O O O
코코헤어 매장에서 헤어스타일을 바꾸고 서오릉피자에서 피자를 주문했어요 .,ORG-B O O O ORG-B O O O
오늘와인한잔 매장에서 와인을 마시고 엉터리생고기에서 생고기를 주문했어요 .,ORG-B O O O ORG-B O O O
이브자리 매장에서 의상을 살펴보고 아띠 매장에서 악세서리를 구입했어요 .,ORG-B O O O ORG-B O O O O
진헤어 매장에서 헤어스타일을 바꾸고 춘천닭갈비 매장에서 닭갈비를 주문했어요 .,ORG-B O O O ORG-B O O O O
스파게티스토리 매장에서 스파게티를 먹고 피자마루에서 피자를 주문했어요 .,ORG-B O O O O O O O
치킨마루에서 치킨을 주문하고 서오릉피자에서 피자를 먹었어요 .,ORG-B O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 엉터리생고기에서 고기를 먹었어요 .,ORG-B O O O ORG-B O O O
코코헤어 매장에서 헤어스타일을 바꾸고 해피데이 매장에서 선물을 샀어요 .,ORG-B O O O ORG-B O O O O
서오릉피자에서 피자를 주문하고 정미용실에서 헤어스타일을 바꾸었어요 .,ORG-B O O ORG-B O O O
비비큐치킨 매장에서 바비큐치킨을 먹고 치킨뱅이에서 치킨을 주문했어요 .,ORG-B O O O ORG-B O O O
죽이야기 매장에서 죽을 먹고 은행골에서 한식을 주문했어요 .,ORG-B O O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 아띠 매장에서 악세서리를 구입했어요 .,ORG-B O O O ORG-B O O O O
서오릉피자 매장에서 피자를 먹고 코코헤어에서 헤어스타일을 바꾸었어요 .,ORG-B O O O ORG-B O O O
오늘와인한잔 매장에서 와인을 마시고 치킨뱅이에서 치킨을 주문했어요 .,ORG-B O O O ORG-B O O O
치킨마루에서 치킨을 주문하고 디저트39에서 디저트를 먹었어요 .,ORG-B O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 현대마트에서 재료를 사왔어요 .,ORG-B O O O ORG-B O O O
코코헤어 매장에서 헤어스타일을 바꾸고 서오릉피자에서 피자를 주문했어요 .,ORG-B O O O ORG-B O O O
오늘와인한잔 매장에서 와인을 마시고 엉터리생고기에서 생고기를 주문했어요 .,ORG-B O O O ORG-B O O O
이브자리 매장에서 의상을 살펴보고 아띠 매장에서 악세서리를 구입했어요 .,ORG-B O O O ORG-B O O O O
진헤어 매장에서 헤어스타일을 바꾸고 춘천닭갈비 매장에서 닭갈비를 주문했어요 .,ORG-B O O O ORG-B O O O O
스파게티스토리 매장에서 스파게티를 먹고 피자마루에서 피자를 주문했어요 .,ORG-B O O O O O O O
치킨마루에서 치킨을 주문하고 서오릉피자에서 피자를 먹었어요 .,ORG-B O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 엉터리생고기에서 고기를 먹었어요 .,ORG-B O O O ORG-B O O O
코코헤어 매장에서 헤어스타일을 바꾸고 해피데이 매장에서 선물을 샀어요 .,ORG-B O O O ORG-B O O O O
서오릉피자에서 피자를 주문하고 정미용실에서 헤어스타일을 바꾸었어요 .,ORG-B O O ORG-B O O O
비비큐치킨 매장에서 바비큐치킨을 먹고 치킨뱅이에서 치킨을 주문했어요 .,ORG-B O O O ORG-B O O O
죽이야기 매장에서 죽을 먹고 은행골에서 한식을 주문했어요 .,ORG-B O O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 아띠 매장에서 악세서리를 구입했어요 .,ORG-B O O O ORG-B O O O O
서오릉피자 매장에서 피자를 먹고 코코헤어에서 헤어스타일을 바꾸었어요 .,ORG-B O O O ORG-B O O O
오늘와인한잔 매장에서 와인을 마시고 치킨뱅이에서 치킨을 주문했어요 .,ORG-B O O O ORG-B O O O
치킨마루에서 치킨을 주문하고 디저트39에서 디저트를 먹었어요 .,ORG-B O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 현대마트에서 재료를 사왔어요 .,ORG-B O O O ORG-B O O O
코코헤어 매장에서 헤어스타일을 바꾸고 서오릉피자에서 피자를 주문했어요 .,ORG-B O O O ORG-B O O O
오늘와인한잔 매장에서 와인을 마시고 엉터리생고기에서 생고기를 주문했어요 .,ORG-B O O O ORG-B O O O
이브자리 매장에서 의상을 살펴보고 아띠 매장에서 악세서리를 구입했어요 .,ORG-B O O O ORG-B O O O O
진헤어 매장에서 헤어스타일을 바꾸고 춘천닭갈비 매장에서 닭갈비를 주문했어요 .,ORG-B O O O ORG-B O O O O
스파게티스토리 매장에서 스파게티를 먹고 피자마루에서 피자를 주문했어요 .,ORG-B O O O O O O O
치킨마루에서 치킨을 주문하고 서오릉피자에서 피자를 먹었어요 .,ORG-B O O ORG-B O O O
치킨매니아 매장에서 치킨을 주문하고 엉터리생고기에서 고기를 먹었어요 .,ORG-B O O O ORG-B O O O
코코헤어 매장에서 헤어스타일을 바꾸고 해피데이 매장에서 선물을 샀어요 .,ORG-B O O O ORG-B O O O O
서오릉피자에서 피자를 주문하고 정미용실에서 헤어스타일을 바꾸었어요 .,ORG-B O O ORG-B O O O
비비큐치킨 매장에서 바비큐치킨을 먹고 치킨뱅이에서 치킨을 주문했어요 .,ORG-B O O O ORG-B O O O
잭슨피자에서 피자를 주문하고 에이원에서 차를 마셨어요 .,ORG-B O O ORG-B O O O
시크릿 매장에서 시크릿 상품을 구입했어요 .,ORG-B O ORG-B O O O
포토이즘 매장에서 사진을 촬영하고 아이비 매장에서 옷을 샀어요 .,ORG-B O O O ORG-B O O O O
스카에서 공부하고 미니스톱에서 아이스크림을 샀어요 .,ORG-B O ORG-B O O O
전주콩나물국밥에서 국밥을 먹고 남도식당에서 전통음식을 주문했어요 .,ORG-B O O ORG-B O O O
이삭 매장에서 감자튀김을 주문하고 명금당에서 디저트를 먹었어요 .,ORG-B O O O ORG-B O O O
한솥에서 도시락을 시켰어요 .,ORG-B O O O
이화 매장에서 책을 구입하고 커피베이에서 커피를 마셨어요 .,ORG-B O O O ORG-B O O O
스터디카페에서 공부하고 지니24스터디카페에서 카페라떼를 주문했어요 .,ORG-B O ORG-B O O O
구두수선 매장에서 신발을 수선하고 왕십리곱창에서 곱창을 먹었어요 .,ORG-B O O O ORG-B O O O
써니 매장에서 옷을 사고 포메인 매장에서 메인상품을 구입했어요 .,ORG-B O O O ORG-B O O O O
족발야시장에서 족발을 먹고 골목식당에서 미식을 즐겼어요 .,ORG-B O O ORG-B O O O
모텔에서 숙박하고 여관에서 숙소를 잡았어요 .,ORG-B O ORG-B O O O
비비안 매장에서 액세서리를 구입하고 탑텐키즈에서 어린이상품을 샀어요 .,ORG-B O O O ORG-B O O O
크린에이드 매장에서 청소용품을 구입하고 남도식당에서 음식을 주문했어요 .,ORG-B O O O ORG-B O O O
세탁소에서 옷을 세탁하고 포토이즘에서 사진을 촬영했어요 .,ORG-B O O ORG-B O O O
오드리 매장에서 옷을 사고 써니에서 액세서리를 구입했어요 .,ORG-B O O O ORG-B O O O
포메인 매장에서 새로운 상품을 발견했어요 .,ORG-B O O O O O
구두수선 매장에서 구두를 수선하고 모텔에서 편안한 휴식을 즐겼어요 .,ORG-B O O O ORG-B O O O O
한솥 매장에서 도시락을 주문하고 포토이즘에서 사진을 촬영했어요 .,ORG-B O O O ORG-B O O O
에이원 매장에서 상품을 구입하고 비비안 매장에서 악세서리를 샀어요 .,ORG-B O O O ORG-B O O O O
스터디카페에서 공부하고 지니24스터디카페에서 커피를 마셨어요 .,ORG-B O ORG-B O O O
명금당 매장에서 디저트를 주문하고 이삭에서 감자튀김을 샀어요 .,ORG-B O O O ORG-B O O O
나주곰탕 매장에서 곰탕을 먹고 골목식당에서 미식을 즐겼어요 .,ORG-B O O O ORG-B O O O
연희김밥에서 김밥을 먹고 전주콩나물국밥에서 국밥을 주문했어요 .,ORG-B O O ORG-B O O O
커피베이 매장에서 커피를 마시고 포토이즘에서 사진을 촬영했어요 .,ORG-B O O O ORG-B O O O
족발야시장에서 족발을 먹고 놀이터에서 놀이를 즐겼어요 .,ORG-B O O ORG-B O O O
세탁소에서 옷을 세탁하고 스터디카페에서 공부했어요 .,ORG-B O O ORG-B O O
은행골 매장에서 음식을 주문하고 놀이터에서 놀았어요 .,ORG-B O O O ORG-B O O
아모레 매장에서 화장품을 샀어요 .,ORG-B O O O O
이삭 매장에서 감자튀김을 주문하고 은행골에서 음식을 즐겼어요 .,ORG-B O O O ORG-B O O O
죽이야기에서 죽을 먹고 포토이즘에서 사진을 찍었어요 .,ORG-B O O ORG-B O O O
스카 매장에서 액세서리를 구입하고 써니에서 옷을 사왔어요 .,ORG-B O O O ORG-B O O O
세탁소에서 옷을 세탁하고 놀이터에서 놀았어요 .,ORG-B O O ORG-B O O
포메인 매장에서 새로운 상품을 발견했어요 .,ORG-B O O O O O
구두수선 매장에서 구두를 수선하고 모텔에서 숙박했어요 .,ORG-B O O O ORG-B O O
한솥 매장에서 도시락을 주문하고 포토이즘에서 사진을 촬영했어요 .,ORG-B O O O ORG-B O O O
에이원 매장에서 상품을 구입하고 비비안 매장에서 악세서리를 샀어요 .,ORG-B O O O ORG-B O O O O
스터디카페에서 공부하고 지니24스터디카페에서 커피를 마셨어요 .,ORG-B O ORG-B O O O
명금당 매장에서 디저트를 주문하고 이삭에서 감자튀김을 샀어요 .,ORG-B O O O ORG-B O O O
탐앤탐스 매장에서 커피를 주문하고 티아라 매장에서 케이크를 먹었어요 .,ORG-B O O O ORG-B O O O O
의정부부대찌개에서 부대찌개를 주문하고 제이에스에서 쇼핑을 했어요 .,ORG-B O O ORG-B O O O
앨리스 매장에서 도넛을 사고 셀프빨래방에서 빨래를 했어요 .,ORG-B O O O ORG-B O O O
은하수 매장에서 별을 감상하고 마포갈비에서 고기를 먹었어요 .,ORG-B O O O ORG-B O O O
더카페에서 커피를 마시고 마왕족발에서 족발을 먹었어요 .,ORG-B O O ORG-B O O O
던킨도너츠 매장에서 도너츠를 주문하고 금별맥주에서 맥주를 마셨어요 .,ORG-B O O O ORG-B O O O
토마토김밥 매장에서 김밥을 주문하고 탕화쿵푸에서 중국요리를 즐겼어요 .,ORG-B O O O ORG-B O O O
쥬씨에서 쥬스를 마시고 진미용실에서 미용을 했어요 .,ORG-B O O ORG-B O O O
밀라노 매장에서 의류를 구입하고 곱분이곱창에서 곱창을 먹었어요 .,ORG-B O O O ORG-B O O O
맥주창고에서 맥주를 주문하고 민들레 매장에서 꽃을 사왔어요 .,ORG-B O O ORG-B O O O O
소림마라에서 마라탕을 먹고 이브 매장에서 화장품을 샀어요 .,ORG-B O O ORG-B O O O O
우정식당에서 음식을 주문하고 하루필름에서 필름을 구매했어요 .,ORG-B O O ORG-B O O O
가마치통닭에서 치킨을 주문하고 스마일꽈배기에서 꽈배기를 먹었어요 .,ORG-B O O ORG-B O O O
탑 매장에서 상품을 구입하고 미분당에서 떡볶이를 주문했어요 .,ORG-B O O O ORG-B O O O
네이처리퍼블릭 매장에서 화장품을 구입하고 에덴에서 식물을 구매했어요 .,ORG-B O O O ORG-B O O O
해오름 매장에서 바다를 감상하고 짝태앤노가리에서 스시를 먹었어요 .,ORG-B O O O ORG-B O O O
플랜에이치에서 계획을 세우고 오봉집에서 닭갈비를 주문했어요 .,ORG-B O O ORG-B O O O
궁 매장에서 전통요리를 즐기고 버거킹에서 햄버거를 주문했어요 .,ORG-B O O O ORG-B O O O
종로김밥에서 김밥을 주문하고 동궁찜닭에서 찜닭을 먹었어요 .,ORG-B O O ORG-B O O O
또봉이통닭에서 치킨을 주문하고 크린업24에서 청소를 했어요 .,ORG-B O O ORG-B O O O
탐앤탐스 매장에서 아침 커피를 마시고 셀프빨래방에서 빨래를 했어요 .,ORG-B O O O O ORG-B O O O
의정부부대찌개에서 부대찌개를 주문하고 던킨도너츠 매장에서 도너츠를 사왔어요 .,ORG-B O O ORG-B O O O O
티아라 매장에서 악세사리를 구매하고 미니스톱에서 아이스크림을 샀어요 .,ORG-B O O O ORG-B O O O
